Practice_Code,EasyToGetThrough,HelpfulReception,NotUsedOnlineServices,WebsiteEasyToUse,HavePreferredGP,OftenSeePreferredGP,DidNotTryToGetInfo,OfferedChoice,InPerson,SameDay,GoodExperience,WithGP,GivingYouEnoughTime,ListeningToYou,CareAndConcern,UnderstoodMentalHealthNeeds,Involved,ConfidenceAndTrust,NeedsMet,GoodOverallExperience,Avoided,LongTermCondition,LongCovid,GoodExperienceWhenClosed,White,Aged85OrOver,Aged65OrOver,Unemployed,PermanentlySickOrDisabled,Carer,ParentOrGuardian,NeverSmoked,Heterosexual,SatisfiedOffer
A84024,0.947881579,0.993427814,0.480864212,0.910033747,0.515811225,0.719049457,0.520446776,0.861789167,0.801878835,0.301652788,0.844629355,0.681506632,0.931015099,0.9333088,0.931107707,0.980790741,0.984050252,0.991567157,1,0.96935754,0.367135043,0.661150496,0.11989974,0.870274373,0.967000474,0.071680233,0.347411205,0,0.041466029,0.154969213,0.145251277,0.658193526,0.91233082,0.887828921
A84025,0.869443108,0.853719313,0.677579381,0.898605234,0.315015107,0.44129526,0.524243748,0.803348223,0.741216389,0.454787929,0.749544844,0.436547298,0.928953237,0.928048571,0.915310156,1,0.926912289,0.995981261,1,0.848554756,0.457568401,0.569898762,0.037729342,0.566517198,1,0.011056472,0.3325563,0.015700846,0.059538162,0.232968922,0.14381364,0.492796001,0.945758713,0.893514608
A84026,0.427859798,0.820233966,0.443339056,0.760308184,0.307999015,0.209885997,0.474414694,0.47668632,0.485668998,0.425170262,0.457291317,0.43959618,0.870872262,0.892980963,0.854819874,0.868654506,0.887226961,0.926364973,0.933780423,0.670813186,0.535676222,0.560937641,0.021561692,0.525239329,0.951626859,0.035683983,0.298850307,0.005043833,0.045124598,0.286622498,0.159784626,0.575241533,0.904569972,0.642892412
A84028,0.393951667,0.85291277,0.252137362,0.700474855,0.301011986,0.224971889,0.448182559,0.742748679,0.553051944,0.333811763,0.585901055,0.438832593,0.896087756,0.873168353,0.868487175,0.83123355,0.88546719,0.920530219,0.912841252,0.714339245,0.477137417,0.683467479,0.060253696,0.517253108,0.972953597,0.028442788,0.263145552,0.046162507,0.068042294,0.20463826,0.274880247,0.459566107,0.893995142,0.828153453
A84029,0.819835655,0.961018286,0.452208041,0.718386532,0.253387756,0.397639339,0.396701413,0.679769941,0.547995937,0.51799282,0.689915226,0.550885729,0.847974304,0.866505154,0.871483915,0.953324287,0.975055539,0.959776078,0.97705529,0.786958691,0.3886473,0.636501749,0.046690413,0.680164941,0.991898644,0.045407072,0.405359239,0.012739285,0.059027947,0.206504006,0.076260572,0.581237159,0.935803934,0.866586425
A84030,0.616790709,0.819577094,0.483470395,0.641098229,0.388389402,0.364042907,0.380179841,0.574770764,0.633326003,0.501507808,0.6137718,0.643933528,0.933758564,0.889895842,0.862241676,0.90752773,0.940232099,0.966202301,0.994236989,0.820508667,0.42856429,0.66716285,0.113931492,0.557488548,0.977849001,0.022642824,0.309677961,0.02587158,0.083234713,0.266402759,0.188490754,0.603177855,0.952393657,0.712807179
A84031,0.703934838,0.879630943,0.48168002,0.759190775,0.397760603,0.392024639,0.392783901,0.670957105,0.650458988,0.539125188,0.693271434,0.618383746,0.907973549,0.876814936,0.927221799,0.964231964,0.95402574,0.988451427,0.931164256,0.910146313,0.540403189,0.606001214,0.082866576,0.640637835,0.975454203,0.039499774,0.278923235,0.011427497,0.00642477,0.132407569,0.281631148,0.648946173,0.93768954,0.79557993
A84033,0.876360374,0.92438774,0.609156151,0.73049097,0.498427413,0.719649555,0.619678166,0.798284736,0.808888895,0.137823214,0.81992666,0.630289093,0.944377131,0.876582987,0.890855811,0.884431732,0.96962312,0.980000243,0.93155492,0.908980114,0.362409475,0.519726202,0.005429814,0.477279968,0.98973086,0.060454448,0.353649646,0,0.021336256,0.13788024,0.179759869,0.65719505,0.937609008,0.778804156
A84034,0.845582687,0.989205413,0.63951266,0.813671007,0.420546893,0.408811206,0.557079014,0.84327486,0.735216125,0.274901291,0.838342145,0.687402435,0.846822527,0.834106483,0.863881646,0.901988901,0.961358384,0.994612965,0.976886066,0.889089682,0.485629584,0.469840067,0.059451965,0.657944627,1,0.041660102,0.377994485,0.008156477,0.038935954,0.167596098,0.191870115,0.56294098,0.994281465,0.914368523
A84035,0.94871988,0.963020976,0.594972912,0.916039632,0.499723296,0.66968364,0.436717442,0.849512792,0.800302169,0.214681715,0.843441526,0.807222004,0.914565154,0.936459008,0.917527865,0.904230136,0.984106308,0.948336485,0.962684602,0.892294224,0.302773835,0.537741151,0.046939786,0.681277167,0.985049919,0.044955616,0.346454425,0.022527336,0.027814466,0.257875326,0.20905691,0.579970379,0.982996035,0.848723958
A84036,0.236757931,0.897750887,0.422193165,0.607855765,0.342840975,0.215726426,0.276096423,0.615657219,0.494187467,0.478270154,0.443772635,0.633938883,0.825051919,0.856508192,0.812302424,0.815782426,0.909438888,0.955355084,0.895898859,0.710482969,0.593277085,0.674111285,0.078435309,0.50953409,0.988010214,0.040313712,0.280343589,0.059531704,0.094756588,0.260357509,0.217498875,0.539633489,0.91819718,0.784753026
A84037,0.420439427,0.891956188,0.527933714,0.625949995,0.638128098,0.473362533,0.489898487,0.69419171,0.782853912,0.143120046,0.548271993,0.547984598,0.898059116,0.864268913,0.895773428,0.936229603,0.931740624,0.962581602,0.970356028,0.810904411,0.400827887,0.69774882,0.018601453,0.574157035,0.961903883,0.025668353,0.285899414,0.022643022,0.084012513,0.243766624,0.139448346,0.687236858,0.857229304,0.686469412
A84038,0.83967104,0.91324612,0.387472584,0.854526165,0.5234515,0.495254804,0.415770914,0.696027911,0.823028472,0.381321942,0.755693247,0.569485891,0.940295863,0.910947321,0.879292778,0.946900423,0.95544988,0.96739068,0.952928963,0.867752776,0.475494177,0.678145927,0.074067238,0.377420809,1,0,0.255256517,0,0.080187849,0.199091564,0.245462109,0.589137388,0.937809073,0.842736854
A84039,0.840101779,0.950778452,0.549318667,0.867169799,0.427195162,0.590805876,0.372499067,0.694529692,0.748150328,0.12312259,0.802409028,0.662670217,0.965486141,0.959090927,0.940944115,1,0.97056819,0.977728272,0.971097419,0.918664093,0.309272897,0.677069092,0.01326579,0.762006664,1,0.049572951,0.423714746,0.017684861,0.012727518,0.294584534,0.16408781,0.611771303,0.928711405,0.890917473
A84040,0.941108556,0.956871238,0.68580689,0.819725717,0.453108769,0.409367001,0.506160558,0.699570004,0.545311089,0.171395686,0.747466764,0.602647736,0.954305084,0.978085533,0.958913075,0.915451913,0.973214477,0.986203967,0.976569082,0.88050216,0.277154294,0.621768011,0.085805525,0.692453378,1,0.061926197,0.372124364,0.007791292,0.082035173,0.210381474,0.183029314,0.493642477,0.879878203,0.686339844
A84042,0.919194485,0.927123401,0.713654331,0.838240704,0.484778383,0.793330839,0.49685905,0.851529815,0.531702612,0.097572049,0.821196457,0.677693361,0.927789943,0.964429405,0.93193067,0.903610529,0.985218929,0.964029313,0.971088966,0.873586829,0.297769479,0.544850241,0.04647524,0.625143322,0.994510368,0.044132307,0.355717091,0.005615261,0.005876452,0.221158154,0.179633226,0.678295771,0.983115713,0.870243123
A84044,0.630387633,0.886760686,0.36479072,0.679285011,0.428119903,0.407211787,0.379958557,0.47565303,0.59541867,0.153504921,0.434275734,0.519029779,0.886492709,0.879480344,0.871602662,0.891827189,0.908271463,0.966802316,0.929461558,0.726031749,0.524712291,0.654453578,0.061359564,0.629973164,0.986086288,0.027853036,0.305432811,0.054063659,0.083742493,0.110321379,0.26561388,0.581633076,0.905224011,0.658193234
A84045,0.663309855,0.878556747,0.69674673,0.582259566,0.26001097,0.546166701,0.577133101,0.696576704,0.627911854,0.279985504,0.588469815,0.793860741,0.906664195,0.908104684,0.877588733,0.928931372,0.911331598,0.944572306,0.931320635,0.754242911,0.332694508,0.563271138,0.018082938,0.455799548,0.990342098,0.037331551,0.386754782,0.047424453,0.061847694,0.217300037,0.170571632,0.631614059,0.922894829,0.714799113
A84047,0.839008429,0.897258861,0.626899667,0.626481767,0.507239406,0.32608555,0.500628303,0.776650596,0.816302409,0.194275187,0.732439228,0.63270767,0.96051181,0.952169081,0.984814642,0.956754805,0.988200009,1,0.988822137,0.908826908,0.369855974,0.533005357,0.019942065,0.292156592,0.988786899,0.021991668,0.360625026,0,0.014173904,0.198674241,0.157610576,0.66703619,0.958062715,0.825795592
A84604,0.905929141,0.914746142,0.505828256,0.748023928,0.448226616,0.569064732,0.566533827,0.672763502,0.595503863,0.323440414,0.751783861,0.55227305,0.906429956,0.888815687,0.865854142,0.865743006,0.961235687,0.924521475,0.923209971,0.854513671,0.254862727,0.599881217,0.02025985,0.397872644,1,0.023938759,0.396237033,0,0.03000613,0.256625202,0.12377846,0.588348277,0.947766202,0.892310699
A84614,0.984071483,0.984071483,0.714702624,0.976944468,0.614856314,0.973891141,0.661232475,0.960347628,0.844688832,0.621978238,0.973876697,0.701090326,0.969103564,0.965087684,0.976458648,0.93192502,0.97938106,1,0.972647455,0.967241432,0.166569728,0.618495872,0.063921108,0.957322847,0.985563542,0.029003639,0.288693518,0.019104466,0.062466596,0.160655722,0.247802436,0.500082116,0.897934787,0.965419372
A88001,0.612508085,0.796529819,0.386929767,0.568832949,0.156498118,0.350877957,0.288539725,0.638069151,0.669184812,0.137842467,0.484990773,0.565111801,0.839280205,0.798853223,0.785048196,0.871273383,0.857151653,0.969301989,0.8909751,0.668453447,0.549221147,0.615715632,0.059253308,0.652544955,0.983155598,0.030751456,0.289983303,0.06455535,0.044947545,0.134217537,0.213219627,0.564566602,0.93468632,0.640618097
A88002,0.326906635,0.861327954,0.666103144,0.513789157,0.468466226,0.313850705,0.391775903,0.584754019,0.357474217,0.247448478,0.516768811,0.394834119,0.827443383,0.825701881,0.822762506,0.701876934,0.819255919,0.928734317,0.953193577,0.680476106,0.378977531,0.578042404,0.028776015,0.241596517,0.911592192,0.019071739,0.239990388,0.082884903,0.085615611,0.264110252,0.140132898,0.380299429,0.973128414,0.713512818
A88003,0.836404387,0.906673695,0.535646905,0.765285798,0.410626735,0.539669628,0.437298714,0.79519485,0.881087604,0.109885057,0.752325722,0.744306173,0.895195952,0.950049499,0.943984609,0.88811206,0.973053911,0.974183634,0.97426569,0.936402792,0.294713373,0.553388012,0.066246043,0.680422025,0.989491643,0.044422901,0.298950621,0.011993582,0.043280449,0.205047246,0.218021034,0.526924412,0.919160976,0.799386018
A88004,0.368268635,0.745638017,0.549808739,0.71124384,0.229806594,0.178327553,0.406731538,0.495502139,0.496195541,0.390885893,0.385602038,0.37480664,0.833049671,0.774338261,0.768435757,0.747129368,0.915157791,0.884114617,0.846280056,0.632206334,0.460906847,0.608313203,0.033188061,0.440704161,0.97914418,0.02302342,0.262420616,0.016319313,0.060977792,0.121702697,0.21697888,0.558801647,0.890371698,0.719362434
A88005,0.490528954,0.825829336,0.363962378,0.602913319,0.576931881,0.403383092,0.281990395,0.604306042,0.71935159,0.196870823,0.483964987,0.574801883,0.84805334,0.862529203,0.847560927,0.855213744,0.893843453,0.936663063,0.926302231,0.797954142,0.621455261,0.618910707,0.030355221,0.400372858,0.782668517,0.025875268,0.346981527,0.031785468,0.079569887,0.180334626,0.135699739,0.597305888,0.952396232,0.763329979
A88006,0.732029941,0.880876832,0.729183045,0.841067132,0.505520469,0.523539401,0.35284551,0.66039259,0.792927056,0.134216225,0.674952282,0.45096554,0.859982047,0.853334881,0.861901666,0.895671591,0.888361449,0.95796464,0.955980459,0.809100891,0.509020329,0.756579945,0.096027312,0.406907834,0.953727678,0.036515667,0.228368732,0.117218688,0.068398108,0.210171744,0.180606109,0.584294194,0.949102228,0.703489302
A88007,0.691857856,0.92891598,0.576334166,0.758438697,0.399435408,0.179144908,0.450823607,0.884173689,0.819264152,0.240574643,0.789313862,0.560355135,0.883942877,0.925815205,0.887400162,0.778684746,0.916563951,0.927745276,0.905647981,0.817035347,0.32807853,0.61973168,0.030983287,0.507627369,0.969306239,0.040281765,0.3615755,0.009367129,0.057164498,0.228072704,0.125069511,0.611032738,0.917969893,0.794499128
A88008,0.47059241,0.905012489,0.553213651,0.693275231,0.416659467,0.374409547,0.501426015,0.610490451,0.565458564,0.2588469,0.537704968,0.480584127,0.882308026,0.889003583,0.918790013,0.94772589,0.974899749,0.982148586,0.982952596,0.761994541,0.544841629,0.574929156,0.131579999,0.385414597,0.814244878,0.032779845,0.283710159,0.053995124,0.066689414,0.192962494,0.285509633,0.594949765,0.908136794,0.72027411
A88009,0.701445175,0.871394254,0.522180869,0.766610186,0.503992812,0.527759443,0.483563515,0.63112569,0.346074754,0.129053708,0.598131115,0.651015141,0.800510418,0.731018682,0.754892393,0.766013561,0.911125973,0.915223985,0.899145756,0.688697889,0.431226488,0.652204782,0.072265117,0.642259252,0.974421912,0.068618447,0.280901257,0.08970834,0.129064636,0.222036521,0.17426404,0.583465665,0.951586291,0.678098693
A88010,0.873281566,0.950851183,0.649885634,0.709452604,0.415437597,0.409136752,0.448035759,0.618917007,0.489500437,0.203694877,0.770822391,0.418542218,0.899446064,0.913479589,0.893325004,0.869643258,0.903233894,0.945699597,0.950330604,0.903429728,0.405563338,0.663238554,0.022972718,0.5029644,0.91020846,0.028665582,0.287074623,0.117345734,0.121717813,0.229210996,0.226668798,0.605780023,0.90019022,0.823864354
A88012,0.581968167,0.613478073,0.267190077,0.601049024,0.369670476,0.270457664,0.335011721,0.500515334,0.852747296,0.252510765,0.477918545,0.454217328,0.796168375,0.866204656,0.803308741,0.805757874,0.952464365,0.891625005,0.887742229,0.668876434,0.4721426,0.685533161,0.051701872,0.35533583,1,0.00819406,0.262069359,0.047723726,0.051223065,0.264197123,0.219108517,0.461707587,0.938992055,0.743589443
A88013,0.225167964,0.859566915,0.434733276,0.497123894,0.366104258,0.12975996,0.340336796,0.560653395,0.705772546,0.308294266,0.379385291,0.569111421,0.797447133,0.85781037,0.8721778,0.814313631,0.967911097,0.917563863,0.898071225,0.701796695,0.5489162,0.624773505,0.094333287,0.568003065,0.909398615,0.024991272,0.237895316,0.079276648,0.138309838,0.220877276,0.229785519,0.528087409,0.940339137,0.787834823
A88014,0.765917874,0.908642299,0.628700964,0.823428663,0.365615118,0.404927686,0.448650324,0.708014995,0.474099836,0.389448965,0.71863715,0.548146419,0.931954587,0.857443895,0.828918351,0.923111261,0.941703817,0.981364067,0.953971614,0.846125888,0.432208291,0.547166431,0.053398969,0.669615582,0.787623852,0.029745236,0.172540439,0.068376994,0.106339823,0.147392441,0.190367674,0.523164065,0.847759692,0.858354479
A88015,0.667005496,0.78216826,0.593289437,0.754840572,0.459389067,0.247189215,0.337155476,0.616402685,0.753685596,0.252485951,0.533274041,0.494032932,0.730713009,0.752141363,0.77434876,0.770371462,0.889858971,0.848215436,0.844340368,0.675047506,0.447080238,0.508841945,0.043332449,0.351170746,0.709828783,0.013136317,0.161339719,0.060356714,0.064166837,0.206423996,0.164107236,0.620448642,0.963033447,0.673858825
A88016,0.713355103,0.94553402,0.401681959,0.866777379,0.384835252,0.252387591,0.414435146,0.754351119,0.718093993,0.240339118,0.730303092,0.501158134,0.836760152,0.883654039,0.850512687,0.741864642,0.914745978,0.917150616,0.9354513,0.816502318,0.405212049,0.64776609,0.022710374,0.758154164,0.964530948,0.018113047,0.288228025,0.057050326,0.038937096,0.146731449,0.213368214,0.53168271,0.881851375,0.757132334
A88022,0.386835736,0.863967934,0.585950855,0.578927117,0.350697109,0.31253466,0.322702514,0.556866909,0.60859514,0.217578542,0.406387463,0.55009252,0.858687004,0.850758823,0.884160861,0.830078289,0.873600743,0.954902523,0.919468723,0.666654961,0.42186906,0.552340882,0.031706919,0.514581084,0.935761491,0.024231892,0.213048456,0.127985121,0.120905936,0.271706828,0.261313451,0.554169895,0.97459316,0.643328696
A88023,0.616165677,0.927681929,0.523359855,0.678421421,0.505449604,0.618663881,0.395500661,0.638430717,0.772911752,0.178841383,0.648986863,0.654912286,0.825145101,0.84091783,0.80479924,0.82025537,0.947452868,0.933638873,0.910667888,0.864864617,0.485237305,0.664306528,0.034355367,0.230611325,0.984879181,0.054346526,0.315294743,0.007428322,0.124870873,0.211208622,0.10673876,0.681585449,0.916751436,0.763860897
A88025,0.605726957,0.855478731,0.558600792,0.7135199,0.646550803,0.51790964,0.464538521,0.654782178,0.639061075,0.160221325,0.618742762,0.448436254,0.864524136,0.864940368,0.913196429,0.854918395,0.924230535,0.957979527,0.994283611,0.847745905,0.430828844,0.659896009,0.043576013,0.778503319,0.977383972,0.018751866,0.279075843,0.007710201,0.077893219,0.239346531,0.188335099,0.530880548,0.911716068,0.801548379
A88601,0.877053445,0.965425073,0.502074227,0.87072361,0.480252652,0.674357169,0.456920316,0.817685164,0.678096084,0.142839259,0.795764173,0.499192177,0.967286408,0.979584571,0.984591694,0.941611569,0.889590542,0.949655699,0.930558226,0.917859001,0.42548818,0.601496703,0.050414438,0.432950235,0.918307835,0.044360761,0.278872893,0.032332441,0.073625047,0.238195457,0.10046147,0.653310023,0.823250872,0.888919291
A88608,0.493923112,0.81705357,0.669595331,0.60896627,0.388290095,0.379312673,0.4023797,0.75488692,0.794194156,0.240745897,0.553668997,0.690967102,0.870318847,0.935997955,0.891260437,0.928257168,0.955105423,0.971127228,0.93843659,0.755398767,0.427533177,0.668598308,0.052322286,0.383466044,0.982034049,0.016772465,0.319396547,0.114621287,0.101845082,0.298421128,0.182811971,0.552252063,0.893760435,0.675506628
A88613,0.517375332,0.909540198,0.604025533,0.733700823,0.404898514,0.341903646,0.408783542,0.54871829,0.5469909,0.237428279,0.563692074,0.470371364,0.906632718,0.8925315,0.920006995,0.955167756,0.905443991,0.979046272,0.907268178,0.756647346,0.506777388,0.625637846,0.084071779,0.596282145,0.923600875,0.023222387,0.283566667,0.120597409,0.104211792,0.220951371,0.200058643,0.554303627,0.931373942,0.683457818
A89001,0.225536162,0.748245075,0.414007889,0.579649394,0.375514188,0.209981351,0.386826857,0.38641795,0.552910452,0.416498154,0.321903764,0.606794385,0.795085407,0.834242559,0.789320098,0.715194216,0.8321869,0.941516492,0.836542235,0.517968734,0.643811899,0.820951832,0.115114704,0.292879465,1,0.042783905,0.263371156,0.051016261,0.117846738,0.253705808,0.16770071,0.603757343,0.923566992,0.732310479
A89002,0.897292523,0.877074318,0.565426705,0.810273012,0.422523731,0.383518865,0.416866945,0.793359453,0.777502641,0.157104929,0.652387593,0.573808441,0.719506374,0.786001454,0.751907291,0.699418027,0.826608442,0.918809837,0.813407645,0.745930874,0.454652737,0.61499062,0.008093729,0.816583489,0.643873161,0.017936779,0.181010878,0.083334259,0.084841773,0.202502326,0.273810193,0.512469858,0.9727121,0.750394071
A89004,0.630160349,0.882020348,0.583682676,0.840630605,0.313784058,0.154764808,0.500689791,0.565141569,0.671917379,0.48054922,0.604805262,0.491814719,0.79917037,0.86784842,0.86427684,0.780087058,0.872333795,0.959153241,0.965024956,0.777438099,0.523965094,0.713075394,0.065512019,0.476042041,0.994748754,0.039493468,0.332526407,0.014138878,0.077286593,0.309062619,0.149918811,0.56042726,0.945356426,0.852130336
A89006,0.672066336,0.860986702,0.632947581,0.767953716,0.372960286,0.150890774,0.410561009,0.714755882,0.792232296,0.128285172,0.64255537,0.56801792,0.785671682,0.75851188,0.749605927,0.734222553,0.84988842,0.823497656,0.856619781,0.769745582,0.406155428,0.488699942,0.048447905,0.39362433,0.702755832,0.011897355,0.172823936,0.067157625,0.091271382,0.14652831,0.273089271,0.558201802,0.86942429,0.771011543
A89007,0.570923576,0.798401503,0.443359986,0.645634361,0.529223008,0.314984223,0.39401313,0.603250882,0.767286691,0.299232954,0.605070908,0.398228397,0.84642268,0.825074694,0.825426747,0.776206373,0.91386777,0.9633424,0.873912351,0.743910666,0.435265263,0.568315802,0.034196839,0.313240525,0.912865578,0.026471329,0.191915578,0.081051705,0.02607248,0.177600214,0.346775247,0.63525991,0.897857617,0.783840661
A89008,0.755843924,0.815297563,0.513345357,0.644039599,0.578470333,0.448453929,0.420452553,0.570817902,0.798201434,0.239755317,0.589656536,0.634947826,0.947262941,0.969359349,0.93652663,0.863035098,0.936808771,0.982515789,0.959554095,0.80325372,0.488894323,0.64199863,0.017731147,0.683938762,0.968411464,0.021269515,0.224689143,0.064071798,0.134787681,0.252997179,0.231423255,0.428712492,0.927337486,0.712707846
A89009,0.753443919,0.892751152,0.527474566,0.817937927,0.342541684,0.331395293,0.427897193,0.718615916,0.71238211,0.220778081,0.614174711,0.718448843,0.897600923,0.903298581,0.847674827,0.886541754,0.955040674,0.958972131,0.932052624,0.8341411,0.42566147,0.494473516,0.071469326,0.510667004,0.99528825,0.027281914,0.226983061,0.024204505,0.016681239,0.285911636,0.230234959,0.610488834,0.918156344,0.736882509
A89010,0.251976438,0.852356599,0.448757393,0.682188862,0.338299824,0.201932341,0.525209833,0.6487187,0.870315634,0.350392258,0.481037516,0.528163881,0.917672653,0.917484059,0.915866649,0.885741808,0.923273996,0.96127375,0.947084305,0.801343356,0.472336488,0.618160582,0.050957408,0.658697716,0.973686626,0.033913295,0.307789478,0.069397421,0.056846891,0.254975598,0.104884104,0.656352229,0.991453965,0.769914511
A89011,0.777087116,0.89807346,0.644699934,0.824160995,0.272614163,0.31220106,0.455577218,0.743772446,0.774773952,0.290055145,0.717409005,0.610526498,0.91772263,0.877714236,0.929222705,0.930316126,0.974726415,0.946621981,0.937306185,0.871090409,0.375778063,0.577164473,0.039296506,0.49286474,0.93578726,0.020505819,0.254502161,0.083087914,0.006446097,0.233580553,0.277989242,0.537842449,0.941341634,0.741006201
A89012,0.689967542,0.875368142,0.607634296,0.580820461,0.331022304,0.291878963,0.435750201,0.804694798,0.820675761,0.169022984,0.738182428,0.671432997,0.888209985,0.883106068,0.872528666,0.847337199,0.962636442,0.951256828,0.943943272,0.757753562,0.458994443,0.56726108,0.047275413,0.617312287,0.981443005,0.005736371,0.283743292,0.121413885,0.136308454,0.16203992,0.143736913,0.522553221,0.965079926,0.820221436
A89015,0.85509396,0.970496688,0.610138707,0.783687398,0.267358033,0.356592769,0.5010183,0.669902609,0.592646541,0.373147565,0.78360865,0.706177413,0.936344383,0.914674652,0.934555944,0.929970374,0.942836226,0.954558436,0.937006896,0.891474606,0.369264589,0.700091948,0.044294889,0.330632631,0.95864773,0.044999889,0.282985124,0.038149274,0.019414285,0.307603411,0.21748408,0.629727142,0.902239515,0.83411126
